input,category,instructions,pilot,agent
What was the total residential electricity consumption last month?,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a territory-wide total residential consumption figure with the month named. 0.5: returns total consumption without filtering to residential, or uses a different period. 0.0: empty, refuses, returns per-customer data instead of an aggregate, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
Show me the top 10 regions by total electricity consumption in the most recent year available,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a ranked list of up to 10 geographic areas by total consumption for the most recent full year, stating which year was used. Fewer than 10 is acceptable if the dataset has fewer qualifying regions. 0.5: returns top regions but omits consumption values, or does not state the year used. 0.0: empty, refuses, returns a count instead of a ranked list, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
Show me the top 10 regions by total electricity consumption across all years available,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a ranked list of up to 10 regions by cumulative consumption across the full date range, stating the range used. Fewer than 10 is acceptable if the dataset has fewer qualifying regions. 0.5: returns top regions but does not state the date range, or limits to a single year instead of all years. 0.0: empty, refuses, returns a count instead of a ranked list, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
What is the average monthly consumption per customer across the territory?,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a territory-wide average monthly consumption per customer, stating the period used. 0.5: returns total consumption rather than a per-customer average, or applies an unintended regional filter. 0.0: empty, refuses, returns per-segment data without a territory-level summary, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
What was the average evening peak load between 5 PM and 8 PM of the most recent month available?,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns an average load for the 5–8 PM window for the most recent month in the dataset, naming that month. 0.5: returns the correct time window but for a different period, or does not name which month was used. 0.0: empty, refuses, returns load with no 5–8 PM filter applied, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
What was the average peak load of the most recent month?,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns an average peak load figure for the most recent complete month, with the month named. 0.5: returns peak load for a different period, or returns total consumption instead of peak load. 0.0: empty, refuses, returns no time reference, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
"How many customers consumed more than 20,000 kWh in the last 12 months?",Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a count of customers whose total consumption exceeded 20,000 kWh over the last 12 months. 0.5: returns a count using a different threshold or time window without flagging the change. 0.0: empty, refuses, returns a list of customers instead of a count, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
Show me the top 10% of heating consumers among low-income customers,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a list or count of customers in the top 10% of heating consumption filtered to a low-income bracket, stating the income threshold used. 0.5: returns high heating consumers without an income filter, or applies a different income threshold without noting it. 0.0: empty, refuses, returns total heating consumption without a percentile or income filter, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
"What percentage of EV customers own large, medium, small, or unknown-type EVs?",Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns a percentage breakdown across all four EV size tiers (large, medium, small, unknown) that sums to or near 100%. 0.5: returns counts by size tier without converting to percentages, or omits the unknown category. 0.0: empty, refuses, returns EV consumption instead of a size breakdown, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
What was the average annual EV charging consumption for customers with active EV charging throughout 2024?,Get Data,"Grading for the TEST pilot (agent ENERGY_AMI_AGENT_TEST). Do not verify exact figures. 1.0: returns an average annual EV charging figure for customers with continuous EV activity in 2024, stating what 'active throughout' means. 0.5: returns average EV consumption for 2024 without filtering to continuously active customers. 0.0: empty, refuses, returns total rather than average, or uses a different year, or is off-topic.",TEST,ENERGY_AMI_AGENT_TEST
